Country,GDP
Germany,4223
United Kingdom,3187
France,2937
Italy,2100
Spain,1425
Netherlands,1018
Turkey,815
Switzerland,813
Poland,674
Sweden,627
Belgium,600
Ireland,499
Norway,482
Austria,477
Denmark,397
Finland,299
Romania,284
Czech Republic,282
Portugal,250
Greece,216
Ukraine,200
Hungary,182
Slovakia,115
Luxembourg,87
Bulgaria,80
Croatia,68
Belarus,68
Lithuania,66
Serbia,63
Slovenia,62
Latvia,39
Estonia,36
Cyprus,28
Iceland,25
Bosnia and Herzegovina,23
Albania,18
Malta,17
Moldova,14
Macedonia,14
Kosovo,9
